NIM,Name,Email,Password,Mode
9118030757,Paulina Devina Wijaya,paulina@example.com,paulina57,admin
4428132454,Reuben Zachary Susanto,babyluben@example.com,reuben54,admin
2036886724,Keanrich Cordana,keanricha@example.com,keanrich24,admin
7813756979,Chrisustomus Boimau,chisus@example.com,chisus79,admin
4655153619,Hendrik Sugiarto,hendrik@example.com,hendrik19,admin
1550632135,Ghandy Salim,ghandy@example.com,ghandy35,user
5870922792,Sanga Lawalata,sanga@example.com,sanga92,user
6355475778,Yozef Giovanni Tjandra,yozef@example.com,yozef78,user
2394853752,Billy Hartono,billy@example.com,billy52,user
8145425373,Petra Gamma,petra@example.com,petra73,user
4292741687,Agung Waluyo,agung@example.com,agung87,user
2146973647,Brian Christian Suroso,brian@example.com,brian47,user
8931945288,Calvin Jonathan Djulianus,calvin@example.com,calvin88,user
7125679799,Ni Ketut Widiani,dean@example.com,dean99,user
4319308516,Jessie Jeyennete Profilience Simamora,jessie@example.com,jessie16,user
9231616010,Kezia Rambu Durry,kezia@example.com,kezia10,user
4606201574,Henri Rusmanto,henri@example.com,henri74,user
1474705841,Naftali Aditya Agung Dwi Nugraha,naftali@example.com,naftali41,user
7647334784,Giving Love Paskah Anjanis Dohude,giving@example.com,giving84,user
2193149183,Michael Bryan Pontoh Aalang,michael@example.com,michae83,user
